# pp->pi0+X at sqrt(s) = 510 GeV
# from publication plot via WebPlotDigitizer
# pT bin center [GeV], cross section [mb*GeV^-2]
1.1374407582938382, 0.7725241910090667
1.6303317535545023, 0.13010252169108288
2.1232227488151665, 0.030599496872071898
2.616113744075829, 0.008991789964660105
3.109004739336493, 0.0029534503223373498
3.6018957345971554, 0.0010843383933053525
4.218009478672984, 0.00044499143131133864
4.710900473933648, 0.00020412213863595918
5.203791469194311, 0.00010465987694566995
5.696682464454975, 0.000048008560184116425
6.189573459715639, 0.000027514424889794495
6.682464454976303, 0.00001576892900167853
7.175355450236966, 0.000010101726462800078
7.66824644549763, 0.000005789450734452963
8.161137440758292, 0.000003708777411774465
8.654028436018958, 0.0000023758782172948654
9.270142180094785, 0.0000015220102682612734
9.763033175355448, 0.000001089839733371198
10.872037914691942, 4.999206759793286e-7
12.843601895734595, 1.469037787186543e-7
14.938388625592415, 5.393468316751861e-8
16.909952606635066, 1.980173739405138e-8
18.881516587677723, 9.083260263394697e-9
20.85308056872038, 4.166584748131791e-9
22.947867298578196, 1.911255205724586e-9
24.919431279620852, 1.095368984228273e-9
26.8909952606635, 5.616303251843306e-10
28.985781990521318, 3.2187875118212226e-10
34.985781990521318, 1.2187875118212226e-10
