# pp->pi0+X at sqrt(s) = 200 GeV
# from publication plot via WebPlotDigitizer
# pT bin center [GeV], cross section [mb*GeV^-2]
0.5256511444356757, 6.480484620332299
0.7719021310181535, 1.9058827582921358
1.141278610891871, 0.4256923520800517
1.6611418047882136, 0.06932949070734415
2.167324388318864, 0.013918177262590606
2.6598263614838205, 0.003426673668453437
3.380989965046793, 0.0006842573793888524
4.014206787687451, 0.00015950126297119082
4.876085240726125, 0.00003430229556009881
5.893010611242657, 0.000008233733727159144
6.928176795580113, 0.00000219146167123795
7.9131807419100255, 7.498295675282999e-7
8.898184688239938, 3.0542886324216355e-7
9.636937647987374, 1.43642017631274e-7
10.786108918705605, 6.373968398398425e-8
12.838200473559592, 1.674487297969422e-8
14.808208366219418, 4.14358410467743e-9
16.819258089976323, 1.4167347220289238e-9
18.83030781373323, 6.146413311676455e-10
18.79558011049724, 6.505619778798298e-10
18.839779005524868, 6.506607455336719e-10
